,category,title,price,rating,No of reviews
2216,"['Beauty & Personal Care', 'Tools & Accessories', 'Toiletry Bags']",fitdom tactical toiletry bag dopp kit case men . perfect travel storage fits large small cosmetic makeup clipper toothbrush shower shaving grooming care best overnight organizer,19.95,4.9,16
2217,"['Clothing, Shoes & Jewelry', 'Men', 'Clothing', 'Polos']",amazon essentials men slim-fit quick-dry golf polo shirt,13.39,4.5,4243
2218,"['Industrial & Scientific', 'Fasteners', 'Wedge Anchors']",confast 3 8 x 3-1 2 wedge anchor zinc plated box 50,29.99,4.8,6
2219,"['Musical Instruments', 'DJ, Electronic Music & Karaoke', 'DJ Equipment', 'Replacement Cartridge Needles']",spitjack meat trussing needle . 12 inch stainless steel whole hog pig lamb crown roast pork stitcher fish bait stringer tool,15.47,4.8,36
2220,"['Health & Household', 'Vitamins & Dietary Supplements', 'Garlic']",kyolic garlic formula 103 immune 200 capsules,18.78,4.8,592
2221,"['Baby', 'Edge & Corner Guards']",glass corner protectors baby clear12 packtable guards edge bumpershigh resistant adhesivecorner protector furniturebeddresserscabinetsentertainment centerskeep kids safe .,6.9,4.0,510
2222,"['Automotive', 'Performance Parts & Accessories', 'Ignition & Electrical', 'Spark Plugs & Wires', 'Wire Sets']",accel 9001c extreme 9000 universal ceramic spark plug wire,46.47,4.2,24
2223,"['Industrial & Scientific', 'Professional Dental Supplies', 'Points']",bulk gutta percha point medium 10x 120 pk 1200 total pieces,5.99,5.0,1
2224,"['Home & Kitchen', 'Furniture', 'Game & Recreation Room Furniture', 'Folding Chairs']",cosco resin folding chair molded seat back 4 pack black,135.33,4.2,512
2225,"['Sports & Outdoors', 'Sports & Fitness', 'Hunting & Fishing', 'Hunting', 'Clothing', ' Women']",kings camo hunter loft vest kcl3500-ds,201.995,4.4,5
2226,"['Office Products', 'Office Electronics', ' Point-of-Sale (POS) Equipment']",zebra symbol motorola li4278 wireless bluetooth barcode scanner cradle usb cables,186.8,4.1,19
2227,"['Kitchen & Dining', 'Small Appliances', 'Specialty Appliances', 'Meat Grinders']",wantjoin electric food processor meat grinder chopper 4 titanium coating blades glass bowl blender vegetables fruits nuts fast slow 2-speed 2l,119.99,3.9,11
2228,"['Sports & Outdoors', 'Outdoor Recreation', 'Water Sports', 'Paddles']",zj sport new idbf approved 1-piece carbon fiber dragon boat paddle storm model,34.16,4.4,121
2229,"['Grocery & Gourmet Food', 'Pantry Staples', 'Herbs, Spices & Seasonings', 'Flax Seed']",bobs red mill flaxseed meal resealable 16 oz,19.775000000000002,4.7,372
2230,"['Electronics', 'Wearable Technology', ' Accessories']",supcase unicorn beetle pro case apple watch 4 5 44mm rugged protective strap bands series 2018 2019 edition bbpink,22.49,4.4,11101
2231,"['Grocery & Gourmet Food', 'Pantry Staples', 'Condiments & Salad Dressings', ' Salad Dressings']",olive garden signature italian dressing 2- 28oz,158.0,5.0,34
2232,"['Industrial & Scientific', 'Hydraulics, Pneumatics & Plumbing', 'Fittings', 'Tube Fittings', ' Luer Fittings']",formufit f00145e-wh-4 45 degree elbow pvc fitting furniture grade 1 size white pack 4,34.79,4.8,8
2233,"['Home & Kitchen', 'Bedding', ""Kids' Bedding"", ' Blankets & Throws']",casofu burritos blanket giant flour tortilla throw novelty family soft comfortable flannel taco kids . black yellow 60 inches,28.990000000000002,4.7,1552
2234,"['Sports & Outdoors', 'Fan Shop', 'Sports Equipment', ' Baseball Equipment']",franklin sports teeball glove ball set meshtek foam baseball 9.5,18.395,4.6,1424
2235,"['Home & Kitchen', 'Bedding', 'Quilts']",ramdevcrafts cotton kantha quilt bedspread twin indian handmade frieda kahlo multi coloured throw blanket reversible traditional patchwork bedding comforter 90x60 inch 220x152 cm light pink,65.0,5.0,6
2236,"['Cell Phones & Accessories', 'Accessories', 'Portable Power Banks']",romoss 30000mah power bank sense 8 18w pd usb c portable charger 3 outputs inputs external battery pack cell phone compatible iphone 11 xs max macbook ipad pro,35.99,4.5,2050
2237,"['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', 'Cables & Interconnects', 'HDMI Cables']",amazonbasics nylon-braided 4k 18gbps hdmi cable 10 feet,13.99,4.7,8896
2238,"['Home & Kitchen', 'Home Décor', 'Window Treatment Hardware', 'Single Rods']",h.versailtex window treatment single rod set twisted sphere caps adjustable length 28 48-inch 3 4 inch diameter matte black,23.49,4.7,652
2239,"['Industrial & Scientific', 'Janitorial & Sanitation Supplies', 'Scouring Pads & Scrubbers']",clarke ma50 15b micro scrubber,89.88,3.4,9
2240,"['Grocery & Gourmet Food', 'Snack Foods', ' Nuts & Seeds']",planters dry roasted peanuts 34.5 oz jar pack 3,22.24,4.6,1529
2241,"['Camera & Photo', 'Accessory Bundles']",52mm close-up filter set 1 2 4 10 diopters magnificatoin kit canon nikon olympus pentax sony sigma tamron digital cameras camcorders microfiber cleaning cloth,12.99,4.1,23
2242,"['Pet Supplies', 'Cats', 'Fountains']",npet cat dog water fountain replacement filters wf020tp,12.99,4.5,281
2243,"['Automotive', 'Replacement Parts', 'Filters', 'Air Filters & Accessories', ' Air Filter Accessories & Cleaning Products']",k n pf-2300 fuel filter,12.16,4.7,181
2244,"['Musical Instruments', 'Band & Orchestra', ' Orchestral Strings']",cecilio cco-300 solid wood cello hard soft case stand bow rosin bridge extra set strings size 4 full,299.99,4.6,26
2245,"['Sports & Outdoors', 'Fan Shop', 'Mirror Covers']",bybycd 1 pair car mirror covers side universal size fits cars suv sedan van protecting vehicle snow frost rain bird-poop,7.99,3.5,2
2246,"['Health & Household', 'Personal Care', 'Piercing & Tattoo Supplies', 'Piercing Kits']",sotica belly piercing kit 14g stainless steel needle botton navel clamps jewelry body supply 3 mixed color,14.99,4.3,92
2247,"['Beauty & Personal Care', 'Skin Care', 'Sunscreens & Tanning Products', 'Facial Sunscreens']",la roche-posay anthelios mineral daily tone correcting tinted face primer broad spectrum spf 50 sunscreen titanium dioxide 1.35 fl . oz,39.99,3.5,184
2248,"['Clothing, Shoes & Jewelry', 'Baby', 'Baby Boys', 'Clothing', 'Jeans']",evelin lee baby boys girls elastic waist ripped holes denim pants rolled jeans pockets,5.485,4.8,41
2249,"['Health & Household', 'Medical Supplies & Equipment', 'Health Monitors', 'Basal']",motorbel non-contact infrared forehead thermometer adults kids professional accurate digital multifunctional body fever alarm lcd screen data memory,49.99,4.4,9
2250,"['Sports & Outdoors', 'Sports & Fitness', 'Boating & Sailing', 'Boating', ' Boat Plumbing']",dasmarine12v 750gph multi port marine boat shower sump pump drain kit system,31.95,3.9,65
2251,"['Toys & Games', 'Puppet Theaters']",pj_masks finger puppets theatre set 5,19.99,4.8,53
2252,"['Kitchen & Dining', 'Bakeware', 'Cookie Stamps']",christmas silicone cookie stamps set 3 heat resistant include bell reindeer tree 1 wood press party novelty diy baking gift non stick bpa free,11.99,5.0,2
2253,"['Home & Kitchen', 'Home Décor', 'Indoor Fountains & Accessories', 'Indoor Fountain Pumps']",sunnydaze fountain pump led light ring transformer use outdoor water fountains aquariums birdbaths 12 volts 200 gph,33.95,4.0,12
2254,"['Industrial & Scientific', 'Abrasive & Finishing Products', 'Grinding Discs']",wood carving disc angle grinder grinding wheel sanding disk tungsten carbide woodworking abrasive flap cutter tool polishing sander attachments,20.83,4.1,4
2255,"['Clothing, Shoes & Jewelry', 'Novelty & More', 'Clothing', 'Novelty', 'Boys', 'Belts']",buckle-down inc. unisex-adult seatbelt belt weed kids multicolor 20-36 inches,13.65,5.0,3
2256,"['Automotive', 'Performance Parts & Accessories', 'Batteries & Accessories', 'Cables']",mopar 5605 1599ac battery cable harness,247.81,5.0,3
2257,"['Health & Household', 'Vitamins & Dietary Supplements', 'Supplements', 'Flax Seed Oil']",flaxseed oil 100 % pure flax seed 0 additives fillers cold pressed unrefined 32 ounce,104.49000000000001,4.6,52
2258,"['Tools & Home Improvement', 'Power & Hand Tools', 'Power Tool Parts & Accessories', 'Air-Compressor Accessories']",fypower 22 pieces air compressor accessories kit 1 4 inch x 25 ft recoil poly hose npt quick connect fittings tire inflator gauge heavy duty blow gun swivel plugs,32.99,4.5,212
2259,"['Industrial & Scientific', 'Lab & Scientific Products', 'Glassware & Labware', 'Media Bottles']",bel-art precisionware narrow-mouth 125ml 4 oz high-density polyethylene bottles polypropylene cap 28mm closure pack 12 f10620-0015,37.39,4.6,106
2260,"['Toys & Games', 'Sports & Outdoor Play', 'Toy Soccer']",turnmeon kids hover soccer ball toys rechargeableair power toy 2 goals led foam bumper indoor outdoor games sports school supply gifts boys girls teens students,23.99,3.7,31
2261,"['Clothing, Shoes & Jewelry', 'Men', 'Shoes', 'Hunting']",lacrosse men alpha lite 16 5.0mm utility boot,84.22999999999999,4.4,111
2262,"['Industrial & Scientific', 'Industrial Hardware', 'Latch']",southco 37-10-086-20 t-handle draw latch 2.44 w handle 4.00 long,24.57,5.0,2
2263,"['Health & Household', 'Health Care', 'Chin Straps']",slumberbump positional sleep belt snoring sleep-disordered breathing black gray 10 extender,54.97,3.6,62
2264,"['Cell Phones & Accessories', 'Accessories', ' Automobile Accessories']",mount metal plate adhesive magnetic cradle-less -x4 pack 2 rectangle round compatible wizgear mounts gold,7.545,4.5,7653
2265,"['Arts, Crafts & Sewing', 'Craft Supplies', 'Floral Tapes & Wraps']",floral tape green flower wrap adhesive waterproof bouquets royal imports 0.25 1 roll,7.99,4.5,159
2266,"['Beauty & Personal Care', 'Makeup', ' Body']",marvel avengers temporary tattoos 50 iron man thor hulk captain america ! savvi,6.95,4.4,494
2267,"['Sports & Outdoors', 'Outdoor Recreation', 'Skates, Skateboards & Scooters', 'Scooters & Equipment', 'Kick Scooters']",weskate scooter kids led light wheels adjustable height kick scooters boys girls rear fender break|5lb lightweight folding 110lb weight capacity,49.99,4.3,573
2268,"['Pet Supplies', 'Reptiles & Amphibians', 'Heat Mats']",2 pack tank heater 14 w reptile heating pad warmer temperature control power adjustment terrarium heat mat reptiles turtle tortoise snakes lizard,27.99,3.9,11
2269,"['Grocery & Gourmet Food', 'Candy & Chocolate', 'Halva']",seda halva marble chocolate 13 oz,12.4,4.2,41
2270,"['Home & Kitchen', 'Bath', 'Beach Towels']",dock bay lightweight beach towel travel extra large xl 78x35 63x31 swim pool yoga travelling,64.99,4.6,89
2271,"['Arts, Crafts & Sewing', 'Painting, Drawing & Art Supplies', 'Mixing Trays']",jack richeson paper soaking marbling tray 23 x 31 styrene high gloss 101038,22.99,4.2,19
2272,"['Musical Instruments', 'Instrument Accessories', 'Drum & Percussion Accessories', 'Drum Set Accessories', 'Stands', ' Cymbal Stands']",meinl cymbals tmscs suspended cymbal stand black,56.14,5.0,1
2273,"['Pet Supplies', 'Horses', 'Hoof Care']",hooflex thrush remedy 12oz,20.63,4.7,101
2274,"['Industrial & Scientific', 'Professional Dental Supplies', 'Measuring Devices']",dental orthodontic interproximal enamel reduction ipr gauge ruler 0.1-0.5 mm,9.99,5.0,2
2275,"['Kitchen & Dining', 'Dining & Entertaining', 'Flatware', ' Spoons']",spoon gift first coffee engraved lovers funny gifts tea best friends mom,7.745,4.6,252
2276,"['Grocery & Gourmet Food', 'Pantry Staples', 'Cooking & Baking', 'Sugars']",powdered monk fruit sweetener erythritol 11 sugar substitute keto 0 calorie net carb non-gmo 2.5 lbs 40 oz,14.989999999999998,4.7,1931
2277,"['Industrial & Scientific', 'Power & Hand Tools', 'Industrial Power Tools', 'Welding & Soldering', 'Soldering Stations']",kotto third hand soldering tool pcb holder four magnetic based iron flexible metal arms helping hands crafts jewelry hobby workshop station non-slip steel weighted base,25.99,4.8,68
2278,"['Office Products', 'Office Supplies', 'Filing Products', 'Index Card Storage']",index card file holds 900 5 x 8 cards 89 16 53 57,98.81,4.2,8
2279,"['Beauty & Personal Care', 'Foot, Hand & Nail Care', 'Nail Art & Polish', 'Decoration Kits']",8 boxes mix-shape nail art supplies metal studs colorful rhinestones crystals beads gems rivet set decorations make diy craft,11.99,5.0,6
