,category,frequency,avg_rating,avg_price,avg_num_reviews
338,Health Monitors,14,4.564285714285715,23.94464285714286,958.5714285714286
339,Envelopes,14,4.542857142857143,33.31035714285714,404.7142857142857
340,Boxing,14,4.292857142857143,51.57714285714286,544.8571428571429
341,Outdoor Lighting,14,4.378571428571429,51.089999999999996,588.5
342,Makeup Brushes & Tools,14,4.4071428571428575,9.878571428571428,3257.5714285714284
343,Clothing & Closet Storage,14,4.5,24.316071428571433,858.0714285714286
344,Kitchen Fixtures,14,4.45,99.0407142857143,409.85714285714283
345,Mailers & Shipping Supplies,14,4.542857142857143,33.31035714285714,404.7142857142857
346,Tennis,14,3.7785714285714285,36.48785714285715,61.5
347,Aids & Accessories,14,4.385714285714285,46.93714285714285,421.0
348,Body Jewelry,14,4.121428571428571,10.782499999999999,943.2142857142857
349,T-Shirts,14,4.4642857142857135,34.425714285714285,380.14285714285717
350,Sports Equipment,14,4.378571428571428,88.40214285714286,275.92857142857144
351,Harnesses & Leashes,14,4.528571428571429,36.385,1324.857142857143
352,Bathroom Safety,14,4.385714285714285,46.93714285714285,421.0
353,Hoses & Pulleys,14,4.621428571428572,33.55857142857143,58.5
354,Boots,14,4.385714285714285,85.55785714285715,724.2857142857143
355,Hats & Caps,14,4.378571428571429,18.423214285714288,771.2142857142857
356,Tack,14,4.378571428571428,50.83821428571429,36.285714285714285
357,Bottled Beverages,14,4.421428571428572,27.445,1071.4285714285713
358,Baits & Attractants,14,4.4071428571428575,14.186428571428573,223.92857142857142
359,Binoculars & Scopes,14,4.357142857142857,231.81142857142854,564.6428571428571
360,Lures,14,4.4071428571428575,14.186428571428573,223.92857142857142
361,Water & Drink Mixes,14,4.421428571428572,27.445,1071.4285714285713
362,Dresses,14,4.185714285714285,52.59321428571429,1183.142857142857
363,Outdoor Cooking Tools & Accessories,14,4.614285714285714,26.24428571428572,443.2857142857143
364,Glassware & Drinkware,14,4.514285714285714,28.771785714285716,794.5714285714286
365,Braces,13,4.03076923076923,14.208461538461542,1407.6923076923076
366,Arts & Crafts,13,4.476923076923077,15.12346153846154,222.76923076923077
367,Food,13,4.453846153846154,23.50269230769231,1502.923076923077
368,Home Décor Accents,13,4.3999999999999995,26.789615384615384,262.46153846153845
369,Farm & Ranch,13,4.415384615384616,58.66153846153846,305.2307692307692
370,Band & Orchestra,13,4.161538461538462,229.85884615384612,112.07692307692308
371,Measuring & Layout Tools,13,4.346153846153846,32.58576923076924,1738.2307692307693
372,Splints & Supports,13,4.03076923076923,14.208461538461542,1407.6923076923076
373,Filing Products,13,4.507692307692308,28.527692307692313,1338.3076923076924
374,Vacuum Parts & Accessories,13,4.661538461538462,29.545384615384616,504.2307692307692
375,Skiing,13,4.446153846153846,33.362692307692306,725.5384615384615
376,Garage & Shop,13,4.438461538461539,92.47346153846154,269.9230769230769
377,Tops,13,3.907692307692308,19.35423076923077,781.3846153846154
378,Tea & Espresso,13,4.430769230769231,126.78576923076925,706.6923076923077
379,Controls & Indicators,13,4.392307692307692,44.92192307692308,283.3076923076923
380,Pain Relievers,13,4.584615384615384,16.753076923076925,1820.3846153846155
381,Exhaust & Emissions,13,4.515384615384615,54.5923076923077,32.92307692307692
382,Pasta & Noodles,13,4.3076923076923075,25.585,95.92307692307692
383,Finishing Products,13,4.446153846153846,19.79846153846154,39.76923076923077
384,Cooking Oils,12,4.5,30.76625,141.66666666666666
385,Soups,12,4.483333333333333,19.857083333333335,230.33333333333334
386,Outdoor,12,4.391666666666667,81.00250000000001,2980.0
387,Commercial Door Products,12,4.45,94.28666666666668,941.8333333333334
388,Window Treatments,12,4.400000000000001,38.24583333333333,488.8333333333333
389,Living Room Furniture,12,4.341666666666667,94.34750000000001,1321.25
390,Seafood,12,4.216666666666666,50.22666666666667,196.5
391,Car Seats,12,4.533333333333333,87.09208333333333,264.75
392,Power Drill Parts & Accessories,12,4.425,21.58375,187.16666666666666
393,HVAC,12,4.491666666666667,77.85291666666667,1523.3333333333333
394,Feeding & Watering Supplies,12,4.233333333333333,12.839999999999998,639.5
395,Installation Accessories & Harnesses,12,4.400000000000001,29.389166666666668,105.5
396,Stocks & Broths,12,4.483333333333333,19.857083333333335,230.33333333333334
397,Jackets,12,4.441666666666667,76.98625,129.75
